Invoice,Product Name,Product Category,Product Price (IDR),Product Quantity,Shipping Fee (IDR),Total Amount (IDR),Order Created Date,Courier Name,Courier Service,Order Status,Region/Province,ECommerce
INV/20200103/XX/I/13291127,Jas Hujan setelan bahan polymer,Pakaian,159000,7,20000,1133000,03-01-2020,JNE,Regular,Order Berhasil, D.K.I. JAKARTA,Tokopedia
INV/20200103/XX/I/35440357,Sweater unisex kuning,Pakaian,99000,37,20000,3683000,03-01-2020,JNE,Regular,Order On Process, JAWA TIMUR,Tokopedia
INV/20200103/XX/I/99117467,Seragam Sekolah SD paket lengkap,Pakaian,124900,47,20000,5890300,03-01-2020,JNE,Regular,Order On Process, D.K.I. JAKARTA,Tokopedia
INV/20200103/XX/I/33948475,Pashmina ceruty premium basic,Pakaian,34900,15,20000,543500,03-01-2020,JNE,Regular,Order On Process, JAWA BARAT,Tokopedia
INV/20200103/XX/I/54579576,Baju Koko lengan pendek hitam,Pakaian,89000,13,20000,1177000,03-01-2020,JNE,Regular,Order Berhasil, SUMATERA SELATAN,Tokopedia
INV/20200103/XX/I/80189013,Batik Couple modis merah maroon,Pakaian,119000,65,20000,7755000,03-01-2020,JNE,Regular,Order Berhasil, SULAWESI BARAT,Tokopedia
INV/20200104/XX/I/61289593,Pashmina ceruty premium basic,Pakaian,34900,7,20000,264300,04-01-2020,SiCepat,Regular,Order Berhasil, SUMATERA UTARA,Tokopedia
INV/20200104/XX/I/61289593,Baju Gamis bahan katun gold,Pakaian,89000,34,20000,3046000,04-01-2020,SiCepat,Regular,Order On Process, SUMATERA UTARA,Tokopedia
INV/20200104/XX/I/41914247,Tas Sekolah tahan air 15.6 inch,Accessories,359000,17,20000,6123000,04-01-2020,JNE,Regular,Order Gagal, ACEH,Tokopedia
INV/20200104/XX/I/22858961,Pashmina ceruty premium basic,Pakaian,34900,4,20000,159600,04-01-2020,JNE,Regular,Order Berhasil, MALUKU,Tokopedia
INV/20200104/XX/I/76239653,Sweater unisex kuning,Pakaian,99000,46,20000,4574000,04-01-2020,JNE,Regular,Order On Process, KEPULAUAN RIAU,Tokopedia
INV/20200104/XX/I/76239653,Seragam Sekolah SD paket lengkap,Pakaian,124900,30,20000,3767000,04-01-2020,JNE,Regular,Order Berhasil, KEPULAUAN RIAU,Tokopedia
INV/20200104/XX/I/76239653,Baju Koko lengan pendek hitam,Pakaian,89000,7,20000,643000,04-01-2020,JNE,Regular,Order Berhasil, KEPULAUAN RIAU,Tokopedia
INV/20200104/XX/I/98186239,Baju Koko lengan pendek hitam,Pakaian,89000,8,20000,732000,04-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200104/XX/I/65523701,Jas Hujan setelan bahan polymer,Pakaian,159000,7,20000,1133000,04-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200104/XX/I/65523701,Batik Couple modis merah maroon,Pakaian,119000,65,20000,7755000,04-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200104/XX/I/25573907,Baju Gamis bahan katun gold,Pakaian,89000,31,20000,2779000,04-01-2020,GO-JEK,Same Day,Order On Process, JAWA BARAT,Tokopedia
INV/20200104/XX/I/73513998,Payung lipat 42 inch,Accessories,42900,35,20000,1521500,04-01-2020,SiCepat,Regular,Order Berhasil, MALUKU UTARA,Tokopedia
INV/20200104/XX/I/18698037,Jas Hujan setelan bahan polymer,Pakaian,159000,6,20000,974000,04-01-2020,JNE,Regular,Order Berhasil, D.K.I. JAKARTA,Tokopedia
INV/20200104/XX/I/71196482,Tas Sekolah tahan air 15.6 inch,Accessories,359000,18,20000,6482000,04-01-2020,JNE,Regular,Order Berhasil, NUSA TENGGARA TIMUR,Tokopedia
INV/20200104/XX/I/71196482,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,34,20000,14806600,04-01-2020,JNE,Regular,Order Berhasil, NUSA TENGGARA TIMUR,Tokopedia
INV/20200104/XX/I/18947767,Seragam Sekolah SD paket lengkap,Pakaian,124900,18,20000,2268200,04-01-2020,GO-JEK,Same Day,Order Berhasil, BENGKULU,Tokopedia
INV/20200104/XX/I/92658761,Sweater unisex kuning,Pakaian,99000,37,20000,3683000,04-01-2020,JNE,Regular,Batal, BALI,Tokopedia
INV/20200104/XX/I/92658761,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,26,20000,11327400,04-01-2020,JNE,Regular,Order Gagal, BALI,Tokopedia
INV/20200104/XX/I/92658761,Payung lipat 42 inch,Accessories,42900,43,20000,1864700,04-01-2020,JNE,Regular,Order Berhasil, BALI,Tokopedia
INV/20200104/XX/I/92658761,Batik Couple modis merah maroon,Pakaian,119000,35,20000,4185000,04-01-2020,JNE,Regular,Order Berhasil, BALI,Tokopedia
INV/20200105/XX/I/93266055,Payung lipat 42 inch,Accessories,42900,75,20000,3237500,05-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200105/XX/I/31098700,Pashmina ceruty premium basic,Pakaian,34900,17,20000,613300,05-01-2020,JNE,Regular,Order Berhasil, RIAU,Tokopedia
INV/20200105/XX/I/53173418,Baju Koko lengan pendek hitam,Pakaian,89000,11,20000,999000,05-01-2020,JNE,Regular,Order Berhasil, JAWA TENGAH,Tokopedia
INV/20200105/XX/I/87859571,Seragam Sekolah SD paket lengkap,Pakaian,124900,50,20000,6265000,05-01-2020,JNE,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200105/XX/I/87859571,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,100,20000,43510000,05-01-2020,JNE,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200105/XX/I/87859571,Jas Hujan setelan bahan polymer,Pakaian,159000,15,20000,2405000,05-01-2020,JNE,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200105/XX/I/96262940,Tas Sekolah tahan air 15.6 inch,Accessories,359000,58,20000,20842000,05-01-2020,SiCepat,Regular,Order Berhasil, KEPULAUAN RIAU,Tokopedia
INV/20200105/XX/I/79877986,Baju Gamis bahan katun gold,Pakaian,89000,66,20000,5894000,05-01-2020,JNE,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200105/XX/I/35047412,Batik Couple modis merah maroon,Pakaian,119000,91,20000,10849000,05-01-2020,JNE,Regular,Order Berhasil, JAWA TENGAH,Tokopedia
INV/20200105/XX/I/99531964,Sweater unisex kuning,Pakaian,99000,75,20000,7445000,05-01-2020,JNE,Regular,Order On Process, JAWA BARAT,Tokopedia
INV/20200106/XX/I/11789552,Payung lipat 42 inch,Accessories,42900,58,20000,2508200,06-01-2020,JNE,Regular,Order On Process, NUSA TENGGARA TIMUR,Tokopedia
INV/20200106/XX/I/11789552,Pashmina ceruty premium basic,Pakaian,34900,14,20000,508600,06-01-2020,JNE,Regular,Order Berhasil, NUSA TENGGARA TIMUR,Tokopedia
INV/20200106/XX/I/57865132,Jas Hujan setelan bahan polymer,Pakaian,159000,18,20000,2882000,06-01-2020,JNE,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200106/XX/I/57865132,Baju Gamis bahan katun gold,Pakaian,89000,40,20000,3580000,06-01-2020,JNE,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200106/XX/I/99714391,Seragam Sekolah SD paket lengkap,Pakaian,124900,35,20000,4391500,06-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200106/XX/I/38915527,Batik Couple modis merah maroon,Pakaian,119000,59,20000,7041000,06-01-2020,SiCepat,Regular,Order On Process, RIAU,Tokopedia
INV/20200106/XX/I/63892943,Tas Sekolah tahan air 15.6 inch,Accessories,359000,28,20000,10072000,06-01-2020,JNE,Regular,Order Berhasil, D.K.I. JAKARTA,Tokopedia
INV/20200106/XX/I/50243539,Baju Koko lengan pendek hitam,Pakaian,89000,16,20000,1444000,06-01-2020,GO-JEK,Same Day,Order On Process, SUMATERA UTARA,Tokopedia
INV/20200106/XX/I/44838271,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,13,20000,5673700,06-01-2020,JNE,Regular,Order On Process, D.K.I. JAKARTA,Tokopedia
INV/20200106/XX/I/27795768,Sweater unisex kuning,Pakaian,99000,53,20000,5267000,06-01-2020,JNE,Regular,Transaksi ditolak., BANTEN,Tokopedia
INV/20200107/XX/I/10771275,Batik Couple modis merah maroon,Pakaian,119000,75,20000,8945000,07-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200107/XX/I/61313854,Pashmina ceruty premium basic,Pakaian,34900,5,20000,194500,07-01-2020,JNE,Regular,Order On Process, RIAU,Tokopedia
INV/20200107/XX/I/43212095,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,53,20000,23069700,07-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200107/XX/I/90384742,Payung lipat 42 inch,Accessories,42900,53,20000,2293700,07-01-2020,JNE,Regular,Order Berhasil, BENGKULU,Tokopedia
INV/20200107/XX/I/90384742,Baju Gamis bahan katun gold,Pakaian,89000,64,20000,5716000,07-01-2020,JNE,Regular,Order Berhasil, BENGKULU,Tokopedia
INV/20200107/XX/I/18939731,Tas Sekolah tahan air 15.6 inch,Accessories,359000,41,20000,14739000,07-01-2020,JNE,Regular,Order Berhasil, KALIMANTAN BARAT,Tokopedia
INV/20200107/XX/I/95959265,Sweater unisex kuning,Pakaian,99000,62,20000,6158000,07-01-2020,JNE,Regular,Order Berhasil, JAWA TENGAH,Tokopedia
INV/20200107/XX/I/95959265,Baju Koko lengan pendek hitam,Pakaian,89000,16,20000,1444000,07-01-2020,JNE,Regular,Order Berhasil, JAWA TENGAH,Tokopedia
INV/20200107/XX/I/21394681,Jas Hujan setelan bahan polymer,Pakaian,159000,12,20000,1928000,07-01-2020,GO-JEK,Same Day,Transaksi dialihkan., SULAWESI SELATAN,Tokopedia
INV/20200107/XX/I/43466485,Seragam Sekolah SD paket lengkap,Pakaian,124900,35,20000,4391500,07-01-2020,JNE,Regular,Order On Process, KEPULAUAN RIAU,Tokopedia
INV/20200108/XX/I/86935384,Batik Couple modis merah maroon,Pakaian,119000,72,20000,8588000,08-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200108/XX/I/19243461,Pashmina ceruty premium basic,Pakaian,34900,15,20000,543500,08-01-2020,JNE,Regular,Order On Process, D.K.I. JAKARTA,Tokopedia
INV/20200108/XX/I/60555947,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,32,20000,13936800,08-01-2020,JNE,Regular,Order Berhasil, SULAWESI SELATAN,Tokopedia
INV/20200108/XX/I/95914686,Baju Koko lengan pendek hitam,Pakaian,89000,27,20000,2423000,08-01-2020,GO-JEK,Same Day,Order On Process, KALIMANTAN UTARA,Tokopedia
INV/20200108/XX/I/48192264,Sweater unisex kuning,Pakaian,99000,54,20000,5366000,08-01-2020,JNE,Regular,Order Berhasil, ACEH,Tokopedia
INV/20200108/XX/I/32982900,Tas Sekolah tahan air 15.6 inch,Accessories,359000,35,20000,12585000,08-01-2020,JNE,Regular,Order On Process, SULAWESI TENGGARA,Tokopedia
INV/20200108/XX/I/24044885,Baju Gamis bahan katun gold,Pakaian,89000,55,20000,4915000,08-01-2020,JNE,Regular,Order Berhasil, SULAWESI BARAT,Tokopedia
INV/20200108/XX/I/76387016,Payung lipat 42 inch,Accessories,42900,73,20000,3151700,08-01-2020,JNE,Regular,Order Berhasil, JAMBI,Tokopedia
INV/20200108/XX/I/90420749,Seragam Sekolah SD paket lengkap,Pakaian,124900,17,20000,2143300,08-01-2020,JNE,Regular,Order Berhasil, SULAWESI BARAT,Tokopedia
INV/20200108/XX/I/90420749,Jas Hujan setelan bahan polymer,Pakaian,159000,19,20000,3041000,08-01-2020,JNE,Regular,Order Berhasil, SULAWESI BARAT,Tokopedia
INV/20200109/XX/I/98989422,Baju Koko lengan pendek hitam,Pakaian,89000,15,20000,1355000,09-01-2020,JNE,Regular,Order Berhasil, SUMATERA UTARA,Tokopedia
INV/20200109/XX/I/97449346,Batik Couple modis merah maroon,Pakaian,119000,73,20000,8707000,09-01-2020,SiCepat,Regular,Order Berhasil, BALI,Tokopedia
INV/20200109/XX/I/80460106,Jas Hujan setelan bahan polymer,Pakaian,159000,22,20000,3518000,09-01-2020,JNE,Regular,Order On Process, KEPULAUAN RIAU,Tokopedia
INV/20200109/XX/I/42593989,Seragam Sekolah SD paket lengkap,Pakaian,124900,34,20000,4266600,09-01-2020,SiCepat,Regular,Transaksi ditolak., JAWA TENGAH,Tokopedia
INV/20200109/XX/I/79167344,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,33,20000,14371700,09-01-2020,GO-JEK,Same Day,Order On Process, LAMPUNG,Tokopedia
INV/20200109/XX/I/43379902,Sweater unisex kuning,Pakaian,99000,70,20000,6950000,09-01-2020,JNE,Regular,Order Berhasil, KALIMANTAN TIMUR,Tokopedia
INV/20200109/XX/I/62665848,Baju Gamis bahan katun gold,Pakaian,89000,63,20000,5627000,09-01-2020,JNE,Regular,Order On Process, BALI,Tokopedia
INV/20200109/XX/I/36396822,Tas Sekolah tahan air 15.6 inch,Accessories,359000,13,20000,4687000,09-01-2020,JNE,Regular,Order Berhasil, RIAU,Tokopedia
INV/20200109/XX/I/36396822,Pashmina ceruty premium basic,Pakaian,34900,9,20000,334100,09-01-2020,JNE,Regular,Order On Process, RIAU,Tokopedia
INV/20200109/XX/I/65943277,Payung lipat 42 inch,Accessories,42900,83,20000,3580700,09-01-2020,JNE,Regular,Order Berhasil, PAPUA,Tokopedia
INV/20200110/XX/I/30880809,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,55,20000,23939500,10-01-2020,SiCepat,Regular,Order Berhasil, MALUKU UTARA,Tokopedia
INV/20200110/XX/I/22779218,Pashmina ceruty premium basic,Pakaian,34900,7,20000,264300,10-01-2020,JNE,Regular,Order On Process, D.K.I. JAKARTA,Tokopedia
INV/20200110/XX/I/71889413,Baju Koko lengan pendek hitam,Pakaian,89000,23,20000,2067000,10-01-2020,JNE,Regular,Order Berhasil, SUMATERA UTARA,Tokopedia
INV/20200110/XX/I/58596217,Sweater unisex kuning,Pakaian,99000,99,20000,9821000,10-01-2020,JNE,Regular,Order Berhasil, SULAWESI UTARA,Tokopedia
INV/20200110/XX/I/21150350,Payung lipat 42 inch,Accessories,42900,90,20000,3881000,10-01-2020,JNE,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200110/XX/I/33858986,Batik Couple modis merah maroon,Pakaian,119000,72,20000,8588000,10-01-2020,GO-JEK,Same Day,Order Berhasil, NUSA TENGGARA TIMUR,Tokopedia
INV/20200110/XX/I/69924272,Baju Gamis bahan katun gold,Pakaian,89000,64,20000,5716000,10-01-2020,GO-JEK,Same Day,Order On Process, NUSA TENGGARA BARAT,Tokopedia
INV/20200110/XX/I/45930997,Seragam Sekolah SD paket lengkap,Pakaian,124900,18,20000,2268200,10-01-2020,JNE,Regular,Order Berhasil, RIAU,Tokopedia
INV/20200110/XX/I/39025159,Tas Sekolah tahan air 15.6 inch,Accessories,359000,9,20000,3251000,10-01-2020,JNE,Regular,Order Berhasil, D.K.I. JAKARTA,Tokopedia
INV/20200110/XX/I/87577527,Jas Hujan setelan bahan polymer,Pakaian,159000,17,20000,2723000,10-01-2020,JNE,Regular,Order On Process, JAWA TIMUR,Tokopedia
INV/20200111/XX/I/52216932,Sweater unisex kuning,Pakaian,99000,79,20000,7841000,11-01-2020,GO-JEK,Same Day,Order Berhasil, PAPUA BARAT,Tokopedia
INV/20200111/XX/I/67553597,Pashmina ceruty premium basic,Pakaian,34900,11,20000,403900,11-01-2020,JNE,Regular,Order On Process, JAWA BARAT,Tokopedia
INV/20200111/XX/I/94121109,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,7,20000,3064300,11-01-2020,SiCepat,Regular,Order Berhasil, SUMATERA UTARA,Tokopedia
INV/20200111/XX/I/71037586,Tas Sekolah tahan air 15.6 inch,Accessories,359000,39,20000,14021000,11-01-2020,GO-JEK,Same Day,Order On Process, LAMPUNG,Tokopedia
INV/20200111/XX/I/13657888,Batik Couple modis merah maroon,Pakaian,119000,85,20000,10135000,11-01-2020,SiCepat,Regular,Order Berhasil, NUSA TENGGARA TIMUR,Tokopedia
INV/20200111/XX/I/60896484,Jas Hujan setelan bahan polymer,Pakaian,159000,12,20000,1928000,11-01-2020,JNE,Regular,Order Berhasil, D.I. YOGYAKARTA,Tokopedia
INV/20200111/XX/I/60896484,Baju Gamis bahan katun gold,Pakaian,89000,85,20000,7585000,11-01-2020,JNE,Regular,Order Berhasil, D.I. YOGYAKARTA,Tokopedia
INV/20200111/XX/I/12132461,Baju Koko lengan pendek hitam,Pakaian,89000,10,20000,910000,11-01-2020,JNE,Regular,Order Berhasil, D.I. YOGYAKARTA,Tokopedia
INV/20200111/XX/I/68817612,Seragam Sekolah SD paket lengkap,Pakaian,124900,19,20000,2393100,11-01-2020,JNE,Regular,Order On Process, PAPUA BARAT,Tokopedia
INV/20200111/XX/I/80843538,Payung lipat 42 inch,Accessories,42900,83,20000,3580700,11-01-2020,JNE,Regular,Order Berhasil, KALIMANTAN TIMUR,Tokopedia
INV/20200112/XX/I/27615303,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,36,20000,15676400,12-01-2020,JNE,Regular,Order On Process, SULAWESI TENGGARA,Tokopedia
INV/20200112/XX/I/30270074,Payung lipat 42 inch,Accessories,42900,93,20000,4009700,12-01-2020,JNE,Regular,Order On Process, SUMATERA UTARA,Tokopedia
INV/20200112/XX/I/53857788,Seragam Sekolah SD paket lengkap,Pakaian,124900,19,20000,2393100,12-01-2020,JNE,Regular,Order Berhasil, SUMATERA UTARA,Tokopedia
INV/20200112/XX/I/89345804,Tas Sekolah tahan air 15.6 inch,Accessories,359000,40,20000,14380000,12-01-2020,JNE,Regular,Order On Process, JAWA TIMUR,Tokopedia
INV/20200112/XX/I/87530550,Batik Couple modis merah maroon,Pakaian,119000,58,20000,6922000,12-01-2020,JNE,Regular,Order On Process, KALIMANTAN UTARA,Tokopedia
INV/20200112/XX/I/33399749,Baju Koko lengan pendek hitam,Pakaian,89000,31,20000,2779000,12-01-2020,SiCepat,Regular,Order Berhasil, BENGKULU,Tokopedia
INV/20200112/XX/I/12590100,Jas Hujan setelan bahan polymer,Pakaian,159000,12,20000,1928000,12-01-2020,JNE,Regular,Order Berhasil, NUSA TENGGARA BARAT,Tokopedia
INV/20200112/XX/I/39998929,Pashmina ceruty premium basic,Pakaian,34900,19,20000,683100,12-01-2020,JNE,Regular,Order Berhasil, KALIMANTAN TIMUR,Tokopedia
INV/20200112/XX/I/53525371,Baju Gamis bahan katun gold,Pakaian,89000,64,20000,5716000,12-01-2020,SiCepat,Regular,Order Berhasil, JAWA TENGAH,Tokopedia
INV/20200112/XX/I/11946477,Sweater unisex kuning,Pakaian,99000,64,20000,6356000,12-01-2020,SiCepat,Regular,Order On Process, D.I. YOGYAKARTA,Tokopedia
INV/20200113/XX/I/53028557,Tas Sekolah tahan air 15.6 inch,Accessories,359000,33,20000,11867000,13-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200113/XX/I/64880396,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,48,20000,20895200,13-01-2020,GO-JEK,Same Day,Order Berhasil, KALIMANTAN SELATAN,Tokopedia
INV/20200113/XX/I/64880396,Baju Koko lengan pendek hitam,Pakaian,89000,23,20000,2067000,13-01-2020,GO-JEK,Same Day,Order Berhasil, KALIMANTAN SELATAN,Tokopedia
INV/20200113/XX/I/39360494,Sweater unisex kuning,Pakaian,99000,28,20000,2792000,13-01-2020,GO-JEK,Same Day,Order Berhasil, D.I. YOGYAKARTA,Tokopedia
INV/20200113/XX/I/29167293,Batik Couple modis merah maroon,Pakaian,119000,51,20000,6089000,13-01-2020,JNE,Regular,Order Berhasil, KALIMANTAN TIMUR,Tokopedia
INV/20200113/XX/I/58263012,Baju Gamis bahan katun gold,Pakaian,89000,48,20000,4292000,13-01-2020,JNE,Regular,Order Berhasil, NUSA TENGGARA BARAT,Tokopedia
INV/20200113/XX/I/86387493,Payung lipat 42 inch,Accessories,42900,89,20000,3838100,13-01-2020,JNE,Regular,Order Berhasil, JAWA TENGAH,Tokopedia
INV/20200113/XX/I/86387493,Pashmina ceruty premium basic,Pakaian,34900,12,20000,438800,13-01-2020,JNE,Regular,Order Berhasil, JAWA TENGAH,Tokopedia
INV/20200113/XX/I/35732392,Seragam Sekolah SD paket lengkap,Pakaian,124900,16,20000,2018400,13-01-2020,JNE,Regular,Order Berhasil, BALI,Tokopedia
INV/20200113/XX/I/36665498,Jas Hujan setelan bahan polymer,Pakaian,159000,20,20000,3200000,13-01-2020,JNE,Regular,Order Berhasil, D.K.I. JAKARTA,Tokopedia
INV/20200114/XX/I/96487135,Tas Sekolah tahan air 15.6 inch,Accessories,359000,12,20000,4328000,14-01-2020,JNE,Regular,Order Berhasil, KALIMANTAN TIMUR,Tokopedia
INV/20200114/XX/I/69135956,Baju Koko lengan pendek hitam,Pakaian,89000,7,20000,643000,14-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200114/XX/I/84511147,Sweater unisex kuning,Pakaian,99000,53,20000,5267000,14-01-2020,JNE,Regular,Order Berhasil, BANTEN,Tokopedia
INV/20200114/XX/I/84511147,Pashmina ceruty premium basic,Pakaian,34900,4,20000,159600,14-01-2020,JNE,Regular,Order On Process, BANTEN,Tokopedia
INV/20200114/XX/I/52617503,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,9,20000,3934100,14-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200114/XX/I/52617503,Baju Gamis bahan katun gold,Pakaian,89000,25,20000,2245000,14-01-2020,JNE,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200114/XX/I/42295902,Payung lipat 42 inch,Accessories,42900,46,20000,1993400,14-01-2020,JNE,Regular,Order On Process, JAMBI,Tokopedia
INV/20200114/XX/I/42295902,Batik Couple modis merah maroon,Pakaian,119000,27,20000,3233000,14-01-2020,JNE,Regular,Order Berhasil, JAMBI,Tokopedia
INV/20200114/XX/I/93365626,Sweater unisex kuning,Pakaian,99000,20,20000,2000000,14-01-2020,JNE,Regular,Order Berhasil, RIAU,Tokopedia
INV/20200114/XX/I/44221894,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,18,20000,7848200,14-01-2020,JNE,Regular,Order On Process, BANTEN,Tokopedia
INV/20200114/XX/I/44221894,Baju Koko lengan pendek hitam,Pakaian,89000,7,20000,643000,14-01-2020,JNE,Regular,Order Berhasil, BANTEN,Tokopedia
INV/20200114/XX/I/93649380,Batik Couple modis merah maroon,Pakaian,119000,24,20000,2876000,14-01-2020,JNE,Regular,Order On Process, JAWA BARAT,Tokopedia
INV/20200114/XX/I/93780328,Pashmina ceruty premium basic,Pakaian,34900,3,20000,124700,14-01-2020,JNE,Regular,Order Berhasil, SUMATERA SELATAN,Tokopedia
